Wavelength (nm),ureaNoCyt,ureaM0,ureaM1,ureaM2,ureaM3,ureaM4,ureaM5,ureaM6,ureaM7,ureaM8,ureaM9,ureaM10,NATA1,kpi-water2
550,-0.074015,0.038644,0.053956,0.368988,0.473969,0.2531,0.403653,0.178318,0.169564,0.193685,0.235864,0.319591,0.200874,-0.015325
549,-0.075183,0.038248,0.054246,0.367843,0.473129,0.253214,0.404829,0.178668,0.170122,0.193228,0.235937,0.319915,0.199945,-0.015427
548,-0.075576,0.037605,0.053172,0.365282,0.47319,0.250552,0.403135,0.175158,0.16843,0.193759,0.236381,0.323015,0.199619,-0.016016
547,-0.074827,0.038271,0.050625,0.361824,0.471665,0.246527,0.400469,0.17338,0.167097,0.193501,0.236677,0.323855,0.198803,-0.016122
546,-0.074636,0.036392,0.048907,0.355824,0.47059,0.241886,0.398284,0.169742,0.164236,0.194583,0.237913,0.325875,0.199905,-0.015884
545,-0.075195,0.034914,0.045429,0.350533,0.467426,0.235676,0.396884,0.165652,0.161612,0.193368,0.238785,0.327343,0.199506,-0.015351
544,-0.075013,0.033631,0.043604,0.346095,0.465518,0.231356,0.394191,0.162069,0.15973,0.192717,0.239115,0.330607,0.198404,-0.01602
543,-0.075618,0.033603,0.042291,0.343598,0.46531,0.228689,0.392673,0.160579,0.158717,0.194003,0.240693,0.331719,0.198935,-0.016482
542,-0.07542,0.034098,0.042067,0.341786,0.466736,0.227027,0.392739,0.159546,0.158234,0.194536,0.240888,0.333593,0.198376,-0.016698
541,-0.074988,0.035843,0.042122,0.343615,0.465141,0.227353,0.39165,0.160892,0.158906,0.196784,0.241913,0.333218,0.199526,-0.016913
540,-0.074937,0.037003,0.042569,0.343231,0.46475,0.227836,0.393341,0.160823,0.159252,0.196743,0.242883,0.335102,0.199311,-0.016596
539,-0.074858,0.03851,0.042324,0.342888,0.464787,0.228121,0.394083,0.160856,0.158917,0.197459,0.243307,0.335362,0.199325,-0.01712
538,-0.075079,0.039165,0.04264,0.341776,0.465671,0.227414,0.394855,0.160653,0.159714,0.197701,0.244386,0.337643,0.198726,-0.016405
537,-0.075242,0.040687,0.043091,0.342072,0.46599,0.227369,0.393628,0.161343,0.160123,0.198624,0.245014,0.338866,0.19933,-0.016977
536,-0.075252,0.041426,0.042954,0.342266,0.466195,0.227964,0.395148,0.162052,0.15994,0.19801,0.245256,0.339341,0.199889,-0.017252
535,-0.075267,0.042645,0.042916,0.341589,0.467105,0.227795,0.395132,0.161157,0.159959,0.198446,0.245335,0.340033,0.198877,-0.016959
534,-0.07545,0.043551,0.043414,0.342284,0.469057,0.22774,0.39441,0.161064,0.160191,0.198553,0.245645,0.341321,0.198639,-0.017284
533,-0.074884,0.044838,0.043626,0.344215,0.468101,0.228887,0.393712,0.162854,0.161065,0.200583,0.246151,0.340199,0.200154,-0.01798
532,-0.074932,0.046255,0.044325,0.344508,0.46757,0.230228,0.396399,0.163643,0.161144,0.198969,0.245954,0.340632,0.198817,-0.017067
531,-0.075288,0.047293,0.045686,0.345426,0.469309,0.23117,0.398031,0.164388,0.162324,0.199915,0.246397,0.341636,0.198771,-0.017495
530,-0.075627,0.047504,0.045849,0.34531,0.470664,0.231547,0.39819,0.163754,0.161989,0.198113,0.245952,0.342182,0.197632,-0.017128
529,-0.074705,0.0487,0.046713,0.348666,0.473497,0.232887,0.396884,0.166376,0.164032,0.200787,0.24717,0.340886,0.198837,-0.018254
528,-0.075057,0.048661,0.046971,0.349895,0.470504,0.234068,0.397416,0.167439,0.164451,0.201479,0.246387,0.340867,0.199499,-0.017733
527,-0.075416,0.048485,0.046893,0.349133,0.46849,0.23466,0.398603,0.16721,0.163725,0.199074,0.245707,0.341084,0.197834,-0.017422
526,-0.075231,0.048628,0.047189,0.350038,0.468984,0.235389,0.398594,0.167661,0.163772,0.199118,0.24586,0.34072,0.198217,-0.017502
525,-0.075263,0.048978,0.047862,0.351097,0.469357,0.236623,0.400154,0.16826,0.164216,0.198999,0.24488,0.340007,0.198618,-0.017281
524,-0.074954,0.049184,0.047852,0.351661,0.468127,0.238822,0.401277,0.169869,0.165166,0.200047,0.244808,0.338536,0.199184,-0.017541
523,-0.075259,0.048987,0.048856,0.352927,0.469587,0.239958,0.401743,0.171304,0.165928,0.199319,0.243428,0.337227,0.198879,-0.017351
522,-0.075243,0.049562,0.049964,0.355685,0.471689,0.24288,0.40375,0.172588,0.166599,0.200486,0.24415,0.337292,0.198924,-0.017433
521,-0.074781,0.048468,0.050861,0.357034,0.470947,0.244312,0.404105,0.173725,0.167197,0.199948,0.24398,0.337016,0.199317,-0.017863
520,-0.075287,0.04653,0.05012,0.354777,0.47149,0.24349,0.403828,0.17329,0.166696,0.198352,0.242915,0.336226,0.19838,-0.017765
519,-0.075002,0.044701,0.048605,0.352934,0.471227,0.241414,0.401551,0.171303,0.164438,0.197351,0.241667,0.335558,0.198004,-0.018245
518,-0.075085,0.042468,0.047261,0.352109,0.468295,0.239378,0.40108,0.169999,0.163575,0.197305,0.240299,0.33386,0.198493,-0.018087
517,-0.075146,0.039985,0.045587,0.349529,0.465814,0.237483,0.399068,0.16886,0.161898,0.196468,0.239102,0.331782,0.198916,-0.018486
516,-0.075541,0.03742,0.044107,0.348179,0.465108,0.23601,0.397313,0.166261,0.160189,0.194913,0.2374,0.331238,0.198708,-0.01837
515,-0.075572,0.034878,0.042298,0.345694,0.464771,0.233689,0.396257,0.164563,0.157975,0.192827,0.236543,0.329804,0.198612,-0.017878
514,-0.075102,0.033149,0.04102,0.343997,0.46231,0.231258,0.394881,0.162292,0.156061,0.192103,0.235167,0.327685,0.197901,-0.018456
513,-0.074548,0.031031,0.039055,0.341823,0.459745,0.228888,0.392546,0.159734,0.15402,0.189233,0.233201,0.326083,0.197101,-0.018213
512,-0.074601,0.028138,0.036919,0.34062,0.458269,0.226653,0.390856,0.158265,0.151551,0.187979,0.230978,0.323791,0.196691,-0.018368
511,-0.07517,0.026322,0.035835,0.33821,0.455921,0.224675,0.389536,0.155744,0.149328,0.187106,0.22978,0.321979,0.19651,-0.018424
510,-0.074462,0.025001,0.034217,0.336553,0.454979,0.223117,0.387774,0.154251,0.148473,0.185483,0.228615,0.32097,0.197497,-0.018916
509,-0.074299,0.023254,0.032656,0.33519,0.452429,0.220968,0.385656,0.152086,0.146148,0.184289,0.226329,0.318299,0.197159,-0.019119
508,-0.074601,0.020817,0.030288,0.333338,0.450766,0.218214,0.383632,0.149497,0.143651,0.182444,0.224349,0.315048,0.196675,-0.018545
