tyrophan thing1
3/25/2014 8:22:35 PM
Wavelength (nm),Absorbance
600.00,-0.007131
599.00,-0.007131
598.00,-0.007131
597.00,-0.007131
596.00,-0.007131
595.00,-0.007131
594.00,-0.007141
593.00,-0.007146
592.00,-0.007169
591.00,-0.007199
590.00,-0.007244
589.00,-0.007251
588.00,-0.007281
587.00,-0.007316
586.00,-0.007360
585.00,-0.007369
584.00,-0.007403
583.00,-0.007455
582.00,-0.007498
581.00,-0.007509
580.00,-0.007570
579.00,-0.007568
578.00,-0.007605
577.00,-0.007656
576.00,-0.007674
575.00,-0.007688
574.00,-0.007720
573.00,-0.007737
572.00,-0.007754
571.00,-0.007779
570.00,-0.007802
569.00,-0.007773
568.00,-0.007808
567.00,-0.007833
566.00,-0.007858
565.00,-0.007877
564.00,-0.007925
563.00,-0.007945
562.00,-0.007970
561.00,-0.008012
560.00,-0.008029
559.00,-0.008061
558.00,-0.008107
557.00,-0.008133
556.00,-0.008149
555.00,-0.008160
554.00,-0.008198
553.00,-0.008216
552.00,-0.008263
551.00,-0.008298
550.00,-0.008315
549.00,-0.008356
548.00,-0.008394
547.00,-0.008426
546.00,-0.008449
545.00,-0.008479
544.00,-0.008519
543.00,-0.008577
542.00,-0.008652
541.00,-0.008718
540.00,-0.008800
539.00,-0.008901
538.00,-0.009019
537.00,-0.009145
536.00,-0.009269
535.00,-0.009415
534.00,-0.009569
533.00,-0.009703
532.00,-0.009824
531.00,-0.009903
530.00,-0.009927
529.00,-0.009893
528.00,-0.009839
527.00,-0.009785
526.00,-0.009697
525.00,-0.009620
524.00,-0.009549
523.00,-0.009439
522.00,-0.009339
521.00,-0.009241
520.00,-0.009159
519.00,-0.009146
518.00,-0.009173
517.00,-0.009205
516.00,-0.009227
515.00,-0.009288
514.00,-0.009349
513.00,-0.009411
512.00,-0.009495
511.00,-0.009565
510.00,-0.009636
509.00,-0.009725
508.00,-0.009821
507.00,-0.009900
506.00,-0.009986
505.00,-0.010066
504.00,-0.010133
503.00,-0.010212
502.00,-0.010256
501.00,-0.010281
500.00,-0.010307
499.00,-0.010304
498.00,-0.010295
497.00,-0.010270
496.00,-0.010253
495.00,-0.010242
494.00,-0.010221
493.00,-0.010191
492.00,-0.010141
491.00,-0.010112
490.00,-0.010126
489.00,-0.010137
488.00,-0.010157
487.00,-0.010176
486.00,-0.010203
485.00,-0.010227
484.00,-0.010249
483.00,-0.010263
482.00,-0.010297
481.00,-0.010334
480.00,-0.010357
479.00,-0.010375
